TOP3,Year_cleaned,Shark_species
USA,1985.0,tiger
USA,1985.0,others
USA,1985.0,others
USA,1985.0,white
SOUTH AFRICA,1985.0,others
USA,1985.0,silky
USA,1985.0,others
USA,1985.0,others
USA,1985.0,others
USA,1985.0,small
USA,1985.0,white
USA,1985.0,tiger
other,1985.0,white
USA,1985.0,others
SOUTH AFRICA,1985.0,others
AUSTRALIA,1985.0,white
USA,1985.0,white
SOUTH AFRICA,1985.0,raggedtooth
SOUTH AFRICA,1985.0,others
SOUTH AFRICA,1985.0,white
other,1985.0,others
SOUTH AFRICA,1985.0,white
other,1985.0,tiger
SOUTH AFRICA,1985.0,others
other,1985.0,bull
other,1984.0,white
AUSTRALIA,1984.0,tiger
USA,1984.0,others
USA,1984.0,small
USA,1984.0,others
USA,1984.0,others
USA,1984.0,others
USA,1984.0,black
USA,1984.0,white
USA,1984.0,white
USA,1984.0,hammerhead
USA,1984.0,blue
USA,1984.0,white
other,1984.0,white
USA,1984.0,others
USA,1984.0,others
SOUTH AFRICA,1984.0,others
SOUTH AFRICA,1984.0,raggedtooth
SOUTH AFRICA,1984.0,white
USA,1984.0,hammerhead
other,1984.0,others
SOUTH AFRICA,1984.0,others
SOUTH AFRICA,1984.0,raggedtooth
SOUTH AFRICA,1984.0,others
SOUTH AFRICA,1984.0,others
AUSTRALIA,1984.0,white
SOUTH AFRICA,1984.0,raggedtooth
USA,1984.0,others
other,1983.0,others
AUSTRALIA,1983.0,white
SOUTH AFRICA,1983.0,raggedtooth
SOUTH AFRICA,1983.0,others
other,1983.0,others
USA,1983.0,tiger
SOUTH AFRICA,1983.0,others
USA,1983.0,others
USA,1983.0,others
USA,1983.0,white
SOUTH AFRICA,1983.0,white
USA,1983.0,sand
USA,1983.0,nurse
USA,1983.0,bull
AUSTRALIA,1983.0,tiger
AUSTRALIA,1983.0,tiger
AUSTRALIA,1983.0,tiger
SOUTH AFRICA,1983.0,others
USA,1983.0,hammerhead
other,1983.0,black
other,1983.0,others
other,1983.0,reef
USA,1983.0,others
SOUTH AFRICA,1983.0,raggedtooth
SOUTH AFRICA,1983.0,others
SOUTH AFRICA,1983.0,others
SOUTH AFRICA,1983.0,black
other,1983.0,small
SOUTH AFRICA,1983.0,others
SOUTH AFRICA,1983.0,others
SOUTH AFRICA,1983.0,white
USA,1983.0,blue
USA,1982.0,others
SOUTH AFRICA,1982.0,white
USA,1982.0,others
USA,1982.0,white
USA,1982.0,white
USA,1982.0,others
USA,1982.0,others
other,1982.0,spinner
SOUTH AFRICA,1982.0,others
SOUTH AFRICA,1982.0,white
USA,1982.0,white
USA,1982.0,others
USA,1982.0,others
SOUTH AFRICA,1982.0,white
USA,1982.0,others
other,1982.0,lemon
USA,1982.0,reef
USA,1982.0,others
AUSTRALIA,1982.0,white
USA,1982.0,others
USA,1982.0,white
SOUTH AFRICA,1982.0,raggedtooth
other,1982.0,white
other,1982.0,white
USA,1981.0,white
USA,1981.0,tiger
SOUTH AFRICA,1981.0,white
USA,1981.0,others
USA,1981.0,others
USA,1981.0,others
USA,1981.0,tiger
USA,1981.0,others
USA,1981.0,others
USA,1981.0,others
USA,1981.0,small
other,1981.0,mako
USA,1981.0,sand
SOUTH AFRICA,1981.0,others
USA,1981.0,others
SOUTH AFRICA,1981.0,others
other,1981.0,others
USA,1981.0,others
other,1981.0,white
SOUTH AFRICA,1981.0,raggedtooth
USA,1981.0,lemon
SOUTH AFRICA,1981.0,raggedtooth
SOUTH AFRICA,1981.0,tiger
USA,1981.0,sand
USA,1981.0,others
other,1981.0,white
other,1981.0,white
SOUTH AFRICA,1981.0,black
AUSTRALIA,1981.0,hammerhead
USA,1981.0,hammerhead
USA,1981.0,tiger
SOUTH AFRICA,1981.0,others
AUSTRALIA,1981.0,tiger
